Progreso;"Estimado/a estudiante, bienvenido/a a la encuesta “Retroalimentación para el Aprendizaje”. El propósito de esta encuesta es favorecer la comprensión acerca de cómo podemos mejorar las prácticas de retroalimentación sobre la evaluación en las universidades. En esta encuesta nos interesa la retroalimentación relacionada con una tarea de evaluación (calificada o no calificada) de una asignatura. Por retroalimentación, nos referimos a la información que ayuda a los estudiantes a mejorar su desempeño en tareas futuras. Completar esta encuesta no debe tomar más de 30 minutos y todas sus respuestas serán anónimas    Si decide hacer parte de este proceso, por favor lea el siguiente consentimiento informado. Agradecemos de antemano su amable participación.     Yo, he sido invitado/a a participar como sujeto en la aplicación virtual de la encuesta ""Retroalimentación para el Aprendizaje"". Los datos recogidos se utilizarán para una investigación que tiene como objetivo generar orientaciones para promover prácticas efectivas de retroalimentación formativa en el contexto universitario. Entiendo que mi participación en el presente estudio es voluntaria y que puedo retirarme en cualquier momento, sin que esto conlleve ningún tipo de penalidad. ¿Estoy de acuerdo en participar en el presente estudio?";P1;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P10.1;P11;P11Otra;P12;P12Otra;P13a;P13b;P13c;P13d;P13e;P13f;P13g;P13h;P13i;P13j;P13jOtra;P13k;P13.1;P14;P14Otra;P15;P16;P16Otra;P17;P18;P18Otra;P19a;P19b;P19c;P19d;P19e;P20;P21a;P21b;P21c;P21d;P22a;P22b;P22c;P22d;P23;P23Otra;P24;P24Otra;P25;P26a;P26b;P26c;P26d;P26e;P26f;P26g;P26h;P26i;P26j;P26j;P26l;P26m;P26n;P26o;P27a;P27b;P27c;P28a;P28b;P29;P30;P31;P32;P33;P33Otra;P34;P34Otra;P35;P36;P36.1;P36.1AMP;P36.2;P37;P37AMP
100;De acuerdo;18 - 23;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional a tiempo completo;Universidad del Magdalena;Licenciatura en educación infantil ;Entre 1 a 3 años;Entre 4.1 y 4.5;En cuatro;03016502 Desarrollo humano y educación ;Calificaciones y comentarios;La misma que esperaba;Presentación oral/exposición,Diario/blog/texto de reflexión,Otra (Por favor especifique en el siguiente recuadro);Mapas mentales y trabajos en grupo.;Trabajé en grupo;;Después de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Compañeros ;Después de la entrega;;Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 1 semana;Mi profesor;;El profesor no brindó comentarios en mi tarea antes de su envío;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Rúbrica calificada;;Totalmente de acuerdo;Ni de acuerdo ni en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;3;3;2;3;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Revisar el trabajo y ver lo que hice correcto, en lo que me pude equivocar, también escuchar opiniones del trabajo realizado.;Frecuentemente;Frecuentemente;Siempre;Frecuentemente;Ocasionalmente;Ocasionalmente;Frecuentemente;Ocasionalmente;Siempre;Frecuentemente;Ocasionalmente;Frecuentemente;Rara vez;Ocasionalmente;Ocasionalmente;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Evaluación del aprendizaje ;Primer semestre del 2022;La profesora explicaba la rúbrica antes de asignar los trabajos después daba comentarios sobre cada trabajo y algo en lo que puedo mejorar para el próximo. ;La retroalimentación me ayudó a seguir mejorando los trabajos, por los comentarios de la profesora, además de seguir la rúbrica asignada.;El profe no daba retroalimentación de los trabajos sino al final y de una manera muy general, durante el semestre no menciono ninguna nota o resultados de algún trabajo. ;Implementar una rúbrica para los trabajos y que se explique antes de cada uno, después de la entrega del trabajo, personalmente decirle a los estudiantes cuáles fueron sus fallas en el trabajo y como puede mejorarlos. ;Mujer;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;24 - 29;Ninguna de las anteriores (Por favor indique el área de conocimiento);Ciencias de la educación ;Estudiante nacional de medio tiempo;Universidad del Magdalena;Licenciatura en educación infantil ;Entre 1 a 3 años;Entre 3.6 y 4.0;En tres;Inglés III;Calificaciones y comentarios;La misma que esperaba;Presentación oral/exposición,Examen,Examen corto/quiz;;Trabajé solo;;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Nadie;Después de la entrega;;Copia impresa (ej. Documento impreso),Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 1 semana;Mi profesor;;El profesor no brindó comentarios en mi tarea antes de su envío;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente,Rúbrica calificada;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;De acuerdo;5;5;4;4;Comentarios escritos a mano en una copia impresa,Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente,Rúbrica calificada;;Comentarios escritos a mano en una copia impresa,Comentarios escritos a mano en un documento escaneado,Comentarios dados personalmente,Rúbrica calificada;;Aprender del error , pero también ayuda en la comunicación maestro docente.;Frecuentemente;Siempre;Siempre;Siempre;Frecuentemente;Ocasionalmente;Siempre;Frecuentemente;Siempre;Frecuentemente;Siempre;Siempre;Frecuentemente;Ocasionalmente;Nunca;Muy de acuerdo;De acuerdo;Muy en desacuerdo;Ingles 3;2022 II;Fue personalizada, lo que permitió ver los puntos buenos y malos de las actividades y el rendimiento académico.;Me ha permitido mejorar la calidad de mis actividades.;Cuando usan comentarios que no motivan a los estudiantes a nivel general ;Exigir los procesos de evaluación, autoevaluación y coevaluación.;Mujer;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;30 - 35;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en Etnoeducacion E Interculturalidad;Menos de un año;Entre 4.1 y 4.5;En una;81113 Concepcion Y Modelos Pedagógicos;Solo comentarios;;Otra (Por favor especifique en el siguiente recuadro);Organizador Grafico;Trabajé solo;;Después de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;Después de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Esposo;Antes de la entrega;;Otro (Por favor especifique en el siguiente recuadro);Manuscrito;Menos de 1 semana;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Rúbrica calificada;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;5;5;5;5;Rúbrica calificada;;Rúbrica calificada;;Volver a hablar del mismo tema para tener un mejor entendimiento;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Frecuentemente;Siempre;Siempre;Nunca;Muy en desacuerdo;En desacuerdo;En desacuerdo;Fundamentacion Etnografica;Primer semestre 2022;El profesor utlizo una diapositiva;Por la forma en que entendi la clases;Hasta el momento no he recibido una retroalimentacion innecesaria;A traves de diapositivas;Mujer;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;18 - 23;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en etnoeducación e interculturalidad ;Menos de un año;Entre 3.6 y 4.0;En cinco;concepcion y modelos pedagógicos ;Calificaciones y comentarios;La misma que esperaba;Ensayo escrito,Presentación oral/exposición;;Trabajé en grupo;;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Docente ;Después de la entrega;;Correo electrónico,Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 1 semana;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;4;5;5;5;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente;;Expresar opiniones, errores, fortalezas y debilidades de los estudiantes.;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Nunca;No puedo dar una opinión;De acuerdo;En desacuerdo;Epistemología de ma investigación ;Primer semestre del 2022;La forma en la que la profesora me informó en lo que estaba haciendo mal;Por que eh escuchado atentamente a la profe ;No e tenido ninguna retroalimentacion no afectiva;Incorporar docente que puedan explicar de una muy buena formar que puedan hablar bien con el estudiante sin problemas ;Hombre;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;30 - 35;Ninguna de las anteriores (Por favor indique el área de conocimiento);Licenciatura en etno educación interculturalidad ;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en etnoeducacion interculturalidad ;Menos de un año;No estoy seguro/a;En más de cinco;Electiva I;Calificaciones y comentarios;La misma que esperaba;Presentación oral/exposición;;Trabajé en grupo;;Después de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;;Antes de la entrega;;Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 1 semana;Mi profesor;;No podría dar una opinión;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;No puedo dar una opinión;No puedo dar una opinión;No puedo dar una opinión;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;4;5;4;4;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Comentarios dados personalmente;;Es de fortalecer el conocimiento del estudiante ;Siempre;Siempre;Frecuentemente;Siempre;Siempre;Ocasionalmente;Frecuentemente;Nunca;Ocasionalmente;Frecuentemente;No puedo dar una opinión;Ocasionalmente;Rara vez;Nunca;No puedo dar una opinión;No puedo dar una opinión;De acuerdo;En desacuerdo;Desarrollo humano ;Primer semestre ;No me acuerdo ;Por que me fue excelente con esa asignatura ;No me acuerdo ;No se ;Mujer;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);Wayunaiki ;Bueno;No;
100;De acuerdo;18 - 23;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en etnoeducacion e interculturalidad;Menos de un año;Entre 3.6 y 4.0;En una;Fundamentos etnograficos ;Solo calificación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comentarios dados personalmente;;Comentarios dados personalmente;;Tener más claridad de algún tema o actividad vista;Siempre;Siempre;Siempre;Frecuentemente;Ocasionalmente;Ocasionalmente;Frecuentemente;Ocasionalmente;Ocasionalmente;Siempre;Frecuentemente;Siempre;Rara vez;Rara vez;Nunca;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Fundamentos etnograficos ;Primer semestre del 2022;Fue muy clara la explicación dada por el docente y también la interacción de todos los alumnos para aclarar cada duda ;He logrado encontrar una claridad y mejor concentración a mis investigaciones y tareas ;Al momento de recibir una explicación de la cual valía mi parcial pero en el cual el docente fue muy crítico y polémico con todos en el aula de clases , a la final no recibí ni logre ningún entendimiento del tema;Algunos docentes tener un poco más de comprensión y paciencia con los estudiantes ;Mujer;;Colombia;;5 - 8 años;Sí;;;;No;
100;De acuerdo;24 - 29;Ciencias Naturales (ej. Ciencias Biológicas, Ciencias de la Tierra y Medioambientales, Ciencias Físicas, Ciencias Químicas, Computación y Ciencias de la Información, Matemáticas);;Estudiante internacional de medio tiempo;Universidad de la Guajira;Licenciatura en educación infantil ;Menos de un año;Entre 3.6 y 4.0;En tres;Concepción modelos y pedagogía ;Solo calificación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comentarios escritos a mano en una copia impresa,Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Es una forma de dar una información positiva ;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Ocasionalmente;Siempre;Siempre;Frecuentemente;Frecuentemente;Siempre;Ocasionalmente;Siempre;Nunca;En desacuerdo;Muy en desacuerdo;En desacuerdo;Fundamentos de la etnoeducacion;2022;La información sea tan precisa ;Por siento que que me ha permitido a captar más la información ;Ninguna;Tener en cuenta  a docentes que motiven al estudiante a participar,  ;Mujer;;Colombia;;Más de 12 años;No;No, solamente español;;Bueno;No;
100;De acuerdo;18 - 23;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura en Etnoeducación e interculturalidad ;Menos de un año;Entre 4.1 y 4.5;En tres;Fundamentos Etnoeducación 811211;Calificaciones y comentarios;La misma que esperaba;Presentación oral/exposición;;Trabajé en grupo;;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Después de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Después de la entrega;;Antes de la entrega;;Copia impresa (ej. Documento impreso);;Recibí los comentarios inmediatamente;Otro (Por favor especifique en el siguiente recuadro);;No podría dar una opinión;Comentarios dados personalmente;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;De acuerdo;5;4;5;5;Comentarios escritos a mano en una copia impresa,Comentarios escritos a mano en un documento escaneado,Anotaciones electrónicas (ej. Comentarios en Word o PDF),Comentarios dados personalmente,Grabación de audio,Grabación de vídeo,Rúbrica calificada;;Comentarios escritos a mano en una copia impresa,Comentarios escritos a mano en un documento escaneado,Anotaciones electrónicas (ej. Comentarios en Word o PDF);;Hacer saber al estudiante en que se equivocó ;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Muy en desacuerdo;De acuerdo;En desacuerdo;Concepción y Modelo ;2022;Orientación del docente ;Me fue muy bien y entendí ; Todas han Sido muy efectiva ;Tener más comunicación y empatía con el estudiante ;Mujer;;Colombia;;Más de 12 años;Sí;;;;No;
100;De acuerdo;24 - 29;Ciencias Sociales (ej. Ciencias de la Educación, Ciencias Políticas, Derecho, Economía y Negocios, Geografía Social y Económica, Periodismo y Comunicaciones, Psicología, Sociología);;Estudiante nacional de medio tiempo;Universidad de la Guajira;Licenciatura Etnoeducacion interculturalidad ;Menos de un año;Entre 3.6 y 4.0;En dos;Fundamentacion Etnoeducacion ;Calificaciones y comentarios;La misma que esperaba;Presentación oral/exposición,Examen;;Trabajé en grupo;;Después de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;Antes de la entrega;;Antes de la entrega;;Plataforma educativa (ej. LMS, Moodle, Brightspace);;Menos de 1 semana;Mi profesor;;El profesor ya había revisado y brindado comentarios en mi tarea antes de su envío;Comentarios dados personalmente;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;4;2;4;3;Grabación de audio;;Grabación de audio;;Mejorar y poner más interés a las actividades en clases ;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Rara vez;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Rara vez;En desacuerdo;En desacuerdo;En desacuerdo;811211;Primer semestre del 2022;No hice la actividad, con  fundamentos ;Me ayudó  mucho, entendí  y logré entender muchas cosas de la actividad ;No fue  efectiva por el horario  de clases porque  la materia  toca una vez  a la semana ;Llamar al estudiante y brindarle unos minutos para  darle la retroalimentacion ;Hombre;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);;Medio;No;
100;De acuerdo;Menor a 18;Ninguna de las anteriores (Por favor indique el área de conocimiento);;Estudiante internacional de medio tiempo;Universidad de la Guajira;Licenciatura en etnoeducación e interculturalidad;Menos de un año;Entre 3.0 y 3.5;En ninguna;ABDC1234  ESCRITURAS Y NORMAS ;Solo calificación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comentarios dados personalmente;;Comentarios dados personalmente;;Ayudar al estudiante a comprender sus modos de aprendizaje y valorar sus logros , esto sucede cuando el profesor acompaña al alumno en un proceso de reflexión sobre como aprendiendo y lo q se logra con ese aprendizaje.;Siempre;Ocasionalmente;Ocasionalmente;Siempre;Ocasionalmente;Siempre;Ocasionalmente;Siempre;Siempre;Siempre;Ocasionalmente;Siempre;Siempre;Rara vez;Nunca;De acuerdo;Muy en desacuerdo;En desacuerdo;Epistemología;2022;Promover procesos de evaluación globales y complejos y lo tanto  revela más allá de los meramentes  estrategicos.;Informar al emisor para q la información inicial se corrija.;En una actividas de epistemología q la profesora me llamó la atención x el trabajo.;.Énfasis en los aspectos positivos ,  pertinencia , nexesidades individuales .;Mujer;;Colombia;;Más de 12 años;No;Sí, otro (Por favor especifique en el siguiente recuadro);;Medio;Prefiero no decirlo;
