equipo;Goles;Tiros pp;Disciplina;Posesion%;AciertoPase%;Aéreos;Rating
1. Manchester City;57;18.2;301;67.6;89.8;12;7.08
2. Liverpool;60;19.2;301;62.2;84.1;16.2;7.05
3. Chelsea;48;14.8;391;58.6;85.9;15.1;6.94
4. West Ham;42;12.9;272;47.9;79.5;18.1;6.82
5. Tottenham;28;12.5;361;51.4;83.7;16.5;6.79
6. Arsenal;34;14.6;333;50.6;82.1;14.2;6.75
7. Wolverhampton Wanderers;19;10.4;381;48.1;80.2;13.1;6.75
8. Manchester United;37;14.2;452;53.3;82.3;15.5;6.74
9. Brighton;23;12.7;431;55.6;82.4;14.8;6.72
10. Leicester;34;11.5;261;48.2;79.8;15;6.68
11. Southampton;29;12.7;462;46.5;76.0;18.2;6.68
12. Crystal Palace;32;11.3;421;51.7;81.1;17;6.68
13. Aston Villa;31;11.3;462;45.2;78.4;16.1;6.67
14. Burnley;17;10.7;400;39.2;68.9;24.5;6.67
15. Everton;25;12.3;451;41.3;73.8;17.2;6.60
16. Leeds;27;14.1;611;55.6;79.2;12.7;6.58
17. Brentford;26;10.8;401;44.3;72.4;19.3;6.57
18. Watford;23;11.4;372;41.0;72.6;20.1;6.56
19. Newcastle United;24;11.8;532;37.8;74.0;17.1;6.54
20. Norwich;14;9.9;391;43.7;77.8;13.9;6.44
