Country;At190day;At320day
Argentina;0,86;3,52
Australia;0,2;0,26
Austria;0,28;0,35
Belgium;0,25;0,31
Bolivia;4,32;11,46
Brazil;3,94;10,61
Canada;0,24;0,31
Chile;0,04;0,24
Colombia;4,74;13,7
Costa Rica;0,24;4,85
Denmark;0,17;0,21
Dominican Republic;0,42;2,56
Ecuador;3,77;12,74
Finland;0,08;0,1
France;0,13;0,17
Germany;0,24;0,31
Italy;0,97;1,31
Japan;0,4;0,51
Korea, Rep.;0,49;0,64
Mexico;1,54;8,48
Netherlands;0,23;0,28
New Zealand;0,01;0,02
Nicaragua;3,85;16,16
Norway;0,29;0,34
Panama;1,45;5,58
Paraguay;1,05;5,41
Peru;2,69;10,39
Spain;0,64;0,98
Sweden;0,33;0,4
Switzerland;0,08;0,11
United Kingdom;0,13;0,19
United States;0,38;0,52
Uruguay;0;0,07
