Country;2021;2020;2019
Argentina;3,52;2,88;2,60
Australia;0,26;0,63;0,63
Austria;0,35;0,52;0,52
Belgium;0,31;0,3;0,30
Bolivia;11,46;11,28;11,67
Brazil;10,61;11,05;11,19
Canada;0,31;0,51;0,52
Chile;0,24;0,94;0,99
Colombia;13,7;11,29;11,93
Costa Rica;4,85;1,88;1,83
Denmark;0,21;0,27;0,28
Dominican Republic;2,56;4,76;5,16
Ecuador;12,74;10,1;10,26
Finland;0,1;0,11;0,11
France;0,17;0,3;0,30
Germany;0,31;0,24;0,24
Italy;1,31;1,78;1,78
Japan;0,51;0,67;0,68
Korea, Rep.;0,64;0,65;0,66
Mexico;8,48;11,92;11,69
Netherlands;0,28;0,25;0,25
New Zealand;0,02;0,02;0,02
Nicaragua;16,16;13,49;13,37
Norway;0,34;0,33;0,33
Panama;5,58;5,22;5,44
Paraguay;5,41;4,52;4,54
Peru;10,39;8,51;8,73
Spain;0,98;1,32;1,33
Sweden;0,4;0,62;0,62
Switzerland;0,11;0,08;0,08
United Kingdom;0,19;0,21;0,21
United States;0,52;0,72;0,73
Uruguay;0,07;0,11;0,12
