"";"datos";"Freq"
"1";"ALQUILER LAVADORAS";2
"2";"ARREGLO DE RELOJES";1
"3";"ARTESANO";83
"4";"ATIENDE ENFERMOS";1
"5";"Auxiliar";1
"6";"bacteriologa";1
"7";"CARRO MULA";2
"8";"CELADURIA";1
"9";"COBRADOR DE BUS";62
"10";"Comerciante";2
"11";"CONDUCTOR";3
"12";"DAYAN.COM";1
"13";"Discapacitada";1
"14";"DISEÑADORA DE ESPACIO Y ARTISTA PLASTICA";1
"15";"DISEÑADORA DE MODAS";1
"16";"DISEÑO TEXTIL";1
"17";"DISEÑO TEXTIL, ARTISTA PLASTICO";1
"18";"EMPLEADA BILLAR";1
"19";"ESTADERO";1
"20";"FOTOCOPIADORA";1
"21";"HERRERO";1
"22";"INDEPENDIENTE";12
"23";"LAVADERO DE CARROS";7
"24";"LIC. ED. INFANTIL";1
"25";"mecanico";1
"26";"MODISTA";9
"27";"MOTOTAXI";572
"28";"Músico";1
"29";"NEGOCIO A DOMICILIO";1
"30";"NEGOCIO BOLLO SILVANA";1
"31";"NEGOCIO DE ARROZ CHINO";1
"32";"NEGOCIO DE BOLLO DE MAZORCA";1
"33";"NEGOCIO DE CARNES";1
"34";"NEGOCIO DE CERDO";1
"35";"NEGOCIO DE JUGOS";1
"36";"NEGOCIO DE PESCADOS";1
"37";"NEGOCIO DE REPUESTO DE MOTOS";1
"38";"NEGOCIO GYM BLACK FIT";1
"39";"NEGOCIO VENTA DE CAFE";2
"40";"NEGOCIOS INFORMALES DE COMIDA";142
"41";"OBRERO";19
"42";"OFICIOS VARIOS";55
"43";"OSTRERIA GIANLUCA (CORREDOR COMERCIAL)";1
"44";"PAPELERIA Y MISCELANIA";16
"45";"PASABOCAS DONDE PIPIOLOS";1
"46";"PESCADOR";219
"47";"SITUACION DISCAPACIDAD";1
"48";"TALLER DE MOTO";1
"49";"TAXISTA";3
"50";"Trabaja en la cafetería de la universidad";1
"51";"TRABAJADOR DE NEGOCIO DE PLAYA";128
"52";"TRABAJADORES DE SALAS DE BELLEZA";29
"53";"TRABAJADORES DOMESTICOS";70
"54";"TRANSPORTE COLECTIVO";1
"55";"VANDEDORA DE CARNES FRIAS";1
"56";"Ven ambulante";1
"57";"Ven de postres";1
"58";"Ven en puerta de colegios";1
"59";"Ven suero y yuca";1
"60";"Vendedor ambulante";3
"61";"VENDEDOR AMBULANTE";5
"62";"VENDEDOR BOLITA";1
"63";"VENDEDOR CHORIZOS";1
"64";"VENDEDOR DE BOLLOS";1
"65";"vendedor de carnes frias";1
"66";"VENDEDOR DE CERDO";1
"67";"vendedor de empanadas";1
"68";"Vendedor de frutas";1
"69";"VENDEDOR DE HELADOS";1
"70";"Vendedor de jugos naturales";1
"71";"VENDEDOR DE LOTERIA";3
"72";"VENDEDOR DE PESCADO";5
"73";"VENDEDOR DE RIFA";1
"74";"Vendedor de tintos";1
"75";"VENDEDOR HELADO";1
"76";"VENDEDOR PATILLAZO";1
"77";"VENDEDOR REPUESTOS";1
"78";"Vendedora ambulante";4
"79";"VENDEDORA DE ARROZ DE POLLO";1
"80";"vendedora de butifarras";1
"81";"VENDEDORA DE CONDIMENTOS";1
"82";"VENDEDORA DE FRUTAS";1
"83";"VENDEDORA DE HELADO";1
"84";"vendedora de helados";1
"85";"VENDEDORA DE MINUTOS";1
"86";"VENDEDORA DE PESCADO";1
"87";"VENDEDORA DE PICADAS";1
"88";"vendedora de postres";1
"89";"VENDEDORA DE POSTRES";1
"90";"Vendedora de pudines";1
"91";"VENDEDORA POR REVISTA CATALOGO";23
"92";"VENTA CAMARON";1
"93";"VENTA COCO";3
"94";"VENTA DE BOLLO";2
"95";"VENTA DE CARNE";1
"96";"VENTA DE CERVEZA";1
"97";"VENTA DE CHUZO";1
"98";"VENTA DE COCO";1
"99";"VENTA DE COCO EN PLAYA";1
"100";"VENTA DE EMBUTIDOS";1
"101";"VENTA DE MANGO COLEGIOS";1
"102";"VENTA DE MANGO EN PLAYA";1
"103";"VENTA DE OSTRAS-CAMARONES";1
"104";"VENTA DE PASABOCAS Y CONGELADOS";1
"105";"VENTA DE PESCADO";2
"106";"VENTA DE POSTRES";1
"107";"VENTA MECATOS";1
"108";"VENTA PESCADO";6
"109";"VENTA TINTO";1
"110";"VENTAS ALMUERZOS";1
"111";"VENTAS CASERAS";71
"112";"VERDURERO";3
"113";"Zapatera";1
"114";"Zapatero";1
"115";"ZAPATERO";1
