Student;PriorCourses;ControlPre;ValuePre;ControlPost;ValuePost;ControlGain;ValueGain;LearningPre;LearningPost;LearningGain
S1;CPMSE2012;3.75;4.5;3.75;3.5;0;-1;0.4375;0.4375;0
S2;CPMSE2012;4;4.25;3.75;4.5;-0.25;0.25;0.4642857;0.5;0.03571429
S3;CPMSE2012;3.5;3.5;3.5;3.75;0;0.25;0.325;0.4;0.075
S4;CPMSE2012;3;3.75;3.25;3.5;0.25;-0.25;0.5416667;0.625;0.08333333
S5;CPMSE2012;4.5;5;5;5;0.5;0;0.5416667;0.7083333;0.16666667
S6;CPMSE2012;4;5;3.75;4.75;-0.25;-0.25;0.75;1;0.25
S7;CPMSE2012;4.5;4.75;4.25;5;-0.25;0.25;0.3125;0.5625;0.25
S8;CPMSE2012;4;2.75;4;3.75;0;1;0.4;0.7;0.3
S9;CPMSE2012;3.5;3.25;3;3.5;-0.5;0.25;0.4;0.7;0.3
S10;CPMSE2012;3.75;2.25;3.75;2.75;0;0.5;0.4;0.75;0.35
S11;CPMSE2012;4;4;4.75;3.75;0.75;-0.25;0.2916667;0.75;0.45833333
S12;One;1.25;1;2.25;1.5;1;0.5;0.75;0.25;-0.5
S13;One;1.75;3;2.5;2.75;0.75;-0.25;1;0.75;-0.25
S14;One;1.75;2.25;2.25;3.25;0.5;1;0.75;0.5;-0.25
S15;One;2.25;1.5;2.25;2;0;0.5;0.5;0.25;-0.25
S16;One;3;3;3;3;0;0;0.75;0.5;-0.25
S17;One;3;5;3.5;5;0.5;0;0.75;0.5;-0.25
S18;One;1.75;2.75;2.75;3;1;0.25;0.25;0;-0.25
S19;One;2;3.25;2.25;3.25;0.25;0;0.75;0.5;-0.25
S20;One;1.25;2.5;2.75;4.5;1.5;2;0.5;0.3333333;-0.16666667
S21;One;3.25;1.5;3.5;1.25;0.25;-0.25;0.625;0.5;-0.125
S22;One;2;2;2.5;2.75;0.5;0.75;0.5;0.4166667;-0.08333333
S23;One;3.5;2.5;3;2.25;-0.5;-0.25;0.5;0.4166667;-0.08333333
S24;One;1.25;2.5;1.25;1;0;-1.5;0.25;0.25;0
S25;One;2.25;2.75;2;1.5;-0.25;-1.25;0.5;0.5;0
S26;One;1.5;2.75;1.75;3;0.25;0.25;0.3333333;0.3333333;0
S27;One;4;4.5;4.5;3.75;0.5;-0.75;0.75;0.75;0
S28;One;3.5;3.75;3.5;4.5;0;0.75;0.5;0.5;0
S29;One;2.5;3.5;3;3.75;0.5;0.25;0.75;0.75;0
S30;One;2.25;4;3.5;2.25;1.25;-1.75;0.3;0.3;0
S31;One;2.75;4.75;3.25;3.75;0.5;-1;0.4166667;0.5;0.08333333
